rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,correct,choices,correct_choice,trial_duration,response_ends_trial,number_of_dots,number_of_sets,coherent_direction,coherence,dot_radius,dot_life,move_distance,aperture_width,aperture_height,dot_color,background_color,RDK_type,aperture_type,reinsert_type,frame_rate,frame_rate_array,number_of_frames,
1245,13,text,0,1247,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,chrome
-1,-1,RDK,1,2458,0.0-1.0-0.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.77666667,"[21.829999999999927,12.154999999999745,16.425000000000182,18.490000000000236,15.485000000000127,16.074999999999818,16.394999999999982,16.625,16.670000000000073,16.81999999999971,16.815000000000055,17.534999999999854]",12,
-1,-1,RDK,2,2672,0.0-1.0-1.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.75136364,"[17.454999999999927,16.600000000000364,16.534999999999854,16.769999999999982,16.75500000000011,17.394999999999982,16.664999999999964,15.920000000000073,17.2800000000002,17.234999999999673,15.6550000000002]",11,
-1,-1,RDK,3,2875,0.0-1.0-2.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.59208333,"[15.769999999999982,17.11499999999978,16.125000000000455,16.68499999999949,16.980000000000473,16.329999999999927,16.730000000000018,16.669999999999618,17.5900000000006,16.61999999999989,15.849999999999909,16.639999999999873]",12,
-1,-1,RDK,4,3091,0.0-1.0-3.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.72583333,"[17.159999999999854,16.565000000000055,16.735000000000127,16.75,17.609999999999673,16.9350000000004,15.734999999999673,16.329999999999927,16.650000000000546,16.919999999999618,16.675000000000182,16.644999999999982]",12,
-1,-1,RDK,5,3308,0.0-1.0-4.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71416667,"[17.24499999999989,16.5600000000004,16.524999999999636,16.75,16.72499999999991,17.02500000000009,16.264999999999873,16.920000000000073,17.690000000000055,15.574999999999818,16.595000000000255,16.695000000000164]",12,
-1,-1,RDK,6,3525,0.0-1.0-5.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71083333,"[17.120000000000346,16.454999999999472,16.760000000000673,16.725000000000364,16.524999999999636,16.70999999999958,16.7150000000006,16.674999999999272,16.654999999999745,17.540000000000873,15.904999999999745,16.74499999999989]",12,
-1,-1,RDK,7,3741,0.0-1.0-6.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69958333,"[16.860000000000582,16.644999999999527,16.765000000000327,16.594999999999345,16.790000000000873,17.37499999999909,15.9350000000004,16.6850000000004,16.609999999999673,16.674999999999272,16.640000000001237,16.81999999999971]",12,
-1,-1,RDK,8,3958,0.0-1.0-7.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69458333,"[16.984999999999673,16.785000000000764,16.36999999999898,16.704999999999927,16.62500000000091,16.789999999999964,17.11999999999898,16.465000000000146,17.4950000000008,15.774999999999636,16.43000000000029,16.789999999999964]",12,
-1,-1,RDK,9,4175,0.0-1.0-8.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.70083333,"[16.9399999999996,16.6200000000008,16.640000000000327,17.549999999999272,15.695000000000618,16.8100000000004,16.654999999999745,16.75500000000011,16.56999999999971,17.38500000000022,15.850000000000364,16.9399999999996]",12,
-1,-1,RDK,10,4391,0.0-1.0-9.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.7,"[17.414999999999054,16.11999999999989,16.6850000000004,16.724999999999454,16.61999999999989,17.24000000000069,16.38500000000022,16.524999999999636,16.654999999999745,16.69500000000062,16.579999999999018,16.75500000000011]",12,
-1,-1,RDK,11,4608,0.0-1.0-10.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69,"[17.024999999999636,16.779999999999745,16.525000000000546,16.654999999999745,16.625,16.850000000000364,16.654999999999745,16.579999999999927,17.224999999999454,16.450000000000728,16.3100000000004,16.599999999999454]",12,
-1,-1,RDK,12,4823,0.0-1.0-11.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.70136364,"[16.80499999999938,16.50500000000102,16.86499999999978,16.48999999999978,17.875,15.720000000000255,16.5049999999992,16.61499999999978,16.725000000000364,17.37500000000091,16.234999999999673]",11,
-1,-1,RDK,13,5025,0.0-1.0-12.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.4775,"[14.295000000000073,16.68000000000029,17.86999999999989,15.475000000000364,16.664999999999964,17.73999999999978,15.859999999999673,16.535000000000764,16.57499999999891,16.94500000000062,16.414999999999964,16.675000000000182]",12,
-1,-1,RDK,14,5242,0.0-1.0-13.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69625,"[16.985000000000582,16.589999999999236,16.775000000000546,17.225000000000364,16.034999999999854,16.795000000000073,16.599999999999454,16.675000000000182,16.455000000000837,17.49499999999898,16.175000000000182,16.550000000000182]",12,
-1,-1,RDK,15,5458,0.0-1.0-14.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.67666667,"[16.835000000000946,16.524999999999636,16.784999999999854,16.424999999999272,17.110000000000582,16.49000000000069,16.585000000000036,16.6299999999992,16.645000000000437,16.725000000000364,17.30999999999949,16.05500000000029]",12,
-1,-1,RDK,16,5675,0.0-1.0-15.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69416667,"[17.0649999999996,16.44000000000051,16.80499999999938,16.6200000000008,16.68000000000029,17.459999999999127,15.965000000000146,16.730000000000473,16.539999999999964,16.704999999999927,16.625,16.69499999999971]",12,
-1,-1,RDK,17,5892,0.0-1.0-16.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.7,"[17.045000000000073,16.714999999999236,17.8100000000004,15.420000000000073,16.789999999999964,16.81500000000051,16.549999999999272,16.55500000000029,16.770000000000437,20.01000000000022,13.399999999999636,16.519999999999527]",12,
