rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,correct,choices,correct_choice,trial_duration,response_ends_trial,number_of_dots,number_of_sets,coherent_direction,coherence,dot_radius,dot_life,move_distance,aperture_width,aperture_height,dot_color,background_color,RDK_type,aperture_type,reinsert_type,frame_rate,frame_rate_array,number_of_frames,
6132,13,text,0,6134,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,firefox
-1,-1,RDK,1,7364,0.0-1.0-0.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,22.21333333,"[36.64499999999953,9.1850000000004,70.71000000000004,4.130000000000109,14.944999999999709,16.1850000000004,14.335000000000036,17.17999999999938,16.605000000000473]",9,
-1,-1,RDK,2,7581,0.0-1.0-1.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,18.175,"[16.30500000000029,16.579999999999927,37.25,12.359999999999673,17.31500000000051,16.595000000000255,16.909999999999854,16.545000000000073,16.69499999999971,16,17.36999999999989]",11,
-1,-1,RDK,3,7796,0.0-1.0-2.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,18.18454545,"[17.74000000000069,16.56999999999971,15.625,17.590000000000146,15.854999999999563,16.545000000000073,34.70499999999993,15.675000000000182,16.909999999999854,16.150000000000546,16.664999999999964]",11,
-1,-1,RDK,4,8014,0.0-1.0-3.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.6925,"[16.6850000000004,16.649999999999636,17.225000000000364,16.279999999999745,16.479999999999563,17.850000000000364,19.095000000000255,14.459999999999127,16.56000000000131,16.06999999999971,16.69999999999891,16.25500000000102]",12,
-1,-1,RDK,5,8232,0.0-1.0-4.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,18.24045455,"[16.335000000000946,17.280000000000655,16.81499999999869,16.729999999999563,15.660000000001673,17.484999999998763,34.89000000000124,15.869999999998981,16.13500000000022,16.69000000000051,16.7549999999992]",11,
-1,-1,RDK,6,8446,0.0-1.0-5.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,18.28272727,"[18.019999999998618,16.4950000000008,16.590000000000146,16.55500000000029,16.63500000000022,16.679999999998472,33.88500000000022,16.354999999999563,16.660000000001673,16.584999999999127,16.649999999999636]",11,
-1,-1,RDK,7,8663,0.0-1.0-6.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71,"[17.280000000000655,21.590000000000146,11.829999999999927,16.284999999999854,16.88000000000102,16.349999999998545,16.63000000000102,16.664999999999054,16.790000000000873,15.7549999999992,17.350000000000364,17.11499999999978]",12,
-1,-1,RDK,8,8882,0.0-1.0-7.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,18.22954545,"[17.085000000000946,16.599999999998545,16.570000000001528,16.599999999998545,33.30000000000109,16.99499999999898,16.470000000001164,16.73999999999978,16.6299999999992,16.7450000000008,16.789999999999054]",11,
-1,-1,RDK,9,9094,0.0-1.0-8.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,18.3965,"[17.584999999999127,16.420000000000073,16.575000000000728,16.585000000000946,16.68499999999949,16.625,36.465000000000146,13.614999999999782,16.670000000000073,16.73999999999978]",10,
-1,-1,RDK,10,9297,0.0-1.0-9.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,18.11818182,"[15.895000000000437,16.659999999999854,16.68000000000029,16.11499999999978,17.295000000000073,16.68499999999949,34.04500000000007,16.020000000000437,16.579999999999927,15.639999999999418,17.68500000000131]",11,
-1,-1,RDK,11,9512,0.0-1.0-10.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.68625,"[17.070000000001528,16.55999999999949,16.81500000000051,16.534999999999854,16.644999999998618,15.795000000000073,17.284999999999854,16.920000000000073,16.605000000001382,16.674999999999272,16.715000000000146,16.61499999999978]",12,
-1,-1,RDK,12,9730,0.0-1.0-11.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.71666667,"[16.30999999999949,17.584999999999127,16.69000000000051,16.670000000000073,16.575000000000728,17.725000000000364,15.654999999998836,16.75,15.755000000001019,17.524999999999636,16.604999999999563,16.75500000000102]",12,
-1,-1,RDK,13,9946,0.0-1.0-12.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.68583333,"[16.264999999999418,17.600000000000364,16.56999999999971,17.659999999999854,16.73999999999978,16.00500000000102,16.529999999998836,16.795000000000073,16.42500000000109,17.039999999999054,16.389999999999418,16.210000000000946]",12,
-1,-1,RDK,14,10164,0.0-1.0-13.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,16.69041667,"[17.26000000000022,16.579999999999927,16.534999999999854,16.649999999999636,16.860000000000582,15.56499999999869,20.784999999999854,14.194999999999709,15.910000000001673,16.61999999999898,16.700000000000728,16.625]",12,
-1,-1,RDK,15,10379,0.0-1.0-14.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,18.22681818,"[16.299999999999272,17.485000000000582,16.709999999999127,16.715000000000146,16.585000000000946,16.659999999999854,34.05999999999949,15.860000000000582,16.854999999999563,16.729999999999563,16.534999999999854]",11,
-1,-1,RDK,16,10599,0.0-1.0-15.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,18.18545455,"[17.25,16.729999999999563,16.575000000000728,15.989999999999782,17.420000000000073,16.68499999999949,33.82500000000073,16.715000000000146,16.284999999999854,16.5049999999992,16.05999999999949]",11,
-1,-1,RDK,17,10815,0.0-1.0-16.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,18.24590909,"[17.25,16.730000000001382,16.514999999999418,16.674999999999272,16.649999999999636,15.68500000000131,34.82999999999993,16.469999999999345,16.585000000000946,16.579999999999927,16.734999999998763]",11,
-1,-1,RDK,18,11029,0.0-1.0-17.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,16.70625,"[16.2450000000008,17.269999999998618,16.93500000000131,16.679999999998472,16.63000000000102,16.645000000000437,16.724999999998545,26.090000000000146,6.319999999999709,17.55000000000109,16.81500000000051,16.56999999999971]",12,
-1,-1,RDK,19,11249,0.0-1.0-18.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,18.17636364,"[17.210000000000946,16.719999999999345,16.55999999999949,36.090000000000146,13.950000000000728,16.6299999999992,16.68000000000029,16.68499999999949,16.650000000001455,16.654999999998836,16.110000000000582]",11,
-1,-1,RDK,20,11462,0.0-1.0-19.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,18.21590909,"[17.079999999999927,16.700000000000728,15.954999999999927,17.274999999999636,16.659999999999854,16.704999999999927,36.2450000000008,14.349999999998545,16.150000000001455,16.6299999999992,16.625]",11,
-1,-1,RDK,21,11680,0.0-1.0-20.0,FALSE,"a,l",l,200,TRUE,200,1,0,0.5,2,-1,1,600,400,white,gray,3,2,2,18.23454545,"[16.11999999999898,17.38500000000022,17.030000000000655,16.56999999999971,15.635000000000218,17.679999999998472,33.94500000000153,15.724999999998545,17.01000000000022,17.034999999999854,16.445000000001528]",11,
-1,-1,RDK,22,11896,0.0-1.0-21.0,FALSE,"a,l",a,200,TRUE,200,1,180,0.5,2,-1,1,600,400,white,gray,3,2,2,18.18590909,"[17.360000000000582,16.73999999999978,16.465000000000146,15.7549999999992,17.43000000000029,16.770000000000437,34.01000000000022,16.07499999999891,16.695000000001528,16.644999999998618,16.100000000000364]",11,
