"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames"
"766","13","text","0","768","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"-1","-1","RDK","1","1987","0.0-1.0-0.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.799999999999997","[36.820000000000164,9.274999999999864,7.009999999999991,15.5150000000001,19.61999999999989,16.5150000000001,13.964999999999918,15.570000000000164,17.044999999999845,19.069999999999936,14.394999999999982]","11"
"-1","-1","RDK","2","2190","0.0-1.0-1.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.04833333333333","[9.890000000000327,16.424999999999727,16.50500000000011,15.934999999999945,17.34999999999991,18.2800000000002,14.8449999999998,17.09999999999991,16.550000000000182,16.795000000000073,16.449999999999818,16.454999999999927]","12"
"-1","-1","RDK","3","2400","0.0-1.0-2.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.687916666666677","[18.394999999999982,14.890000000000327,17.789999999999964,15.86999999999989,16.23999999999978,17.070000000000164,16.644999999999982,17.019999999999982,16.855000000000018,16.375,16.595000000000255,16.509999999999764]","12"
"-1","-1","RDK","4","2617","0.0-1.0-3.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.66416666666665","[16.98999999999978,16.170000000000073,16.809999999999945,16.9050000000002,16.58999999999969,16.855000000000018,15.684999999999945,19.38500000000022,13.884999999999764,17.215000000000146,17.315000000000055,16.164999999999964]","12"
"-1","-1","RDK","5","2836","0.0-1.0-4.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.674583333333317","[17.279999999999745,17.470000000000255,15.789999999999964,16.164999999999964,17.00500000000011,17.0949999999998,17.815000000000055,18.51000000000022,13.849999999999909,16.23999999999978,17.575000000000273,15.299999999999727]","12"
"-1","-1","RDK","6","3052","0.0-1.0-5.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.700416666666644","[17.324999999999818,16.434999999999945,16.559999999999945,16.820000000000164,16.595000000000255,16.894999999999982,16.144999999999982,19.934999999999945,13.775000000000091,16.559999999999945,16.894999999999982,16.46499999999969]","12"
"-1","-1","RDK","7","3268","0.0-1.0-6.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.762500000000006","[16.990000000000236,16.954999999999927,16.485000000000127,16.954999999999927,16.480000000000018,16.894999999999982,16.454999999999927,16.860000000000127,15.359999999999673,17.88000000000011,16.65000000000009,17.184999999999945]","12"
"-1","-1","RDK","8","3485","0.0-1.0-7.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.645833333333332","[17.86999999999989,15.904999999999745,17.225000000000364,18.059999999999945,14.764999999999873,16.735000000000127,16.984999999999673,16.4050000000002,17.304999999999836,16.01000000000022,16.86499999999978,15.620000000000346]","12"
"-1","-1","RDK","9","3702","0.0-1.0-8.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.604583333333306","[15.944999999999709,17.100000000000364,16.125,16.729999999999563,16.570000000000164,17.735000000000127,14.840000000000146,17.96499999999969,15.269999999999982,17.99499999999989,16.450000000000273,16.529999999999745]","12"
"-1","-1","RDK","10","3919","0.0-1.0-9.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69500000000001","[17.80500000000029,15.315000000000055,17.230000000000018,16.5949999999998,17.09999999999991,15.695000000000164,17.539999999999964,16.409999999999854,16.34999999999991,16.870000000000346,17.159999999999854,16.269999999999982]","12"
"-1","-1","RDK","11","4136","0.0-1.0-10.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.720000000000027","[17.1850000000004,16.674999999999727,16.409999999999854,15.860000000000127,17.274999999999636,18.355000000000473,14.289999999999964,17.465000000000146,16.784999999999854,16.975000000000364,16.339999999999236,17.025000000000546]","12"
"-1","-1","RDK","12","4354","0.0-1.0-11.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.741250000000036","[19.965000000000146,14.770000000000437,16.219999999999345,16.31500000000051,17.23999999999978,17.68000000000029,15.799999999999272,17.045000000000073,15.69000000000051,17.13500000000022,16.045000000000073,16.98999999999978]","12"
"-1","-1","RDK","13","4568","0.0-1.0-12.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.732083333333396","[21.090000000000146,12.38000000000011,17.454999999999927,16.360000000000582,17.50999999999931,15.850000000000364,16.894999999999527,16.405000000000655,17.13000000000011,15.729999999999563,17.609999999999673,16.3700000000008]","12"
"-1","-1","RDK","14","4785","0.0-1.0-13.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.67416666666668","[29.420000000000073,4.414999999999964,16.6850000000004,16.55499999999938,16.56500000000051,17.460000000000036,16.324999999999818,17.409999999999854,15.769999999999527,16.900000000000546,16.55999999999949,16.025000000000546]","12"
