"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames"
"1690","13","text","0","1692","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"-1","-1","RDK","1","2918","0.0-1.0-0.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.683333333333355","[18.200000000000273,14.399999999999636,17.800000000000637,16.399999999999636,16.700000000000273,16.59999999999991,16.59999999999991,16,17.40000000000009,16.700000000000273,16.699999999999363,16.700000000000273]","12"
"-1","-1","RDK","2","3134","0.0-1.0-1.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.708333333333332","[17.699999999999818,16.09999999999991,16.59999999999991,16.700000000000273,16,19.09999999999991,14.800000000000182,16.699999999999818,16.100000000000364,17.299999999999727,16.59999999999991,16.800000000000182]","12"
"-1","-1","RDK","3","3351","0.0-1.0-2.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.209090909090925","[25.800000000000182,24.200000000000273,16.899999999999636,16.699999999999818,16.700000000000273,16.59999999999991,16.700000000000273,16.699999999999818,16.700000000000273,16.699999999999363,16.600000000000364]","11"
"-1","-1","RDK","4","3567","0.0-1.0-3.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.200000000000024","[18.299999999999727,14.600000000000364,36.499999999999545,14.200000000000273,18.700000000000273,13.799999999999727,17.300000000000182,16.90000000000009,16.59999999999991,16.199999999999818,17.100000000000364]","11"
"-1","-1","RDK","5","3784","0.0-1.0-4.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.218181818181826","[17.40000000000009,16.09999999999991,16.800000000000182,16.700000000000273,16.699999999999363,36.70000000000027,13.199999999999818,16.800000000000182,16.700000000000273,16.59999999999991,16.699999999999818]","11"
"-1","-1","RDK","6","3999","0.0-1.0-5.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.420000000000027","[17.5,40.59999999999991,9.299999999999727,16.600000000000364,16.799999999999727,16.700000000000273,15.900000000000091,17.399999999999636,16.699999999999818,16.700000000000728]","10"
"-1","-1","RDK","7","4201","0.0-1.0-6.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.118181818181835","[16.100000000000364,16.399999999999636,16.899999999999636,16.600000000000364,16.599999999999454,35.5,14.400000000000546,16.699999999999818,15.800000000000182,17.699999999999818,16.600000000000364]","11"
"-1","-1","RDK","8","4415","0.0-1.0-7.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.46999999999998","[26.49999999999909,26.50000000000091,15,16.699999999999818,16.699999999999818,16.800000000000182,16.599999999999454,16.600000000000364,16.099999999999454,17.200000000000728]","10"
"-1","-1","RDK","9","4618","0.0-1.0-8.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.649999999999938","[16.600000000000364,16.5,16.699999999999818,27.199999999999818,6,16.599999999999454,16.700000000000728,16.899999999999636,16.5,16.800000000000182,16.599999999999454,16.699999999999818]","12"
"-1","-1","RDK","10","4833","0.0-1.0-9.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.14545454545458","[18.300000000000182,15.199999999999818,16.800000000000182,16.699999999999818,16.600000000000364,16,26.49999999999909,7.0000000000009095,43.599999999999454,6.400000000000546,16.5]","11"
"-1","-1","RDK","11","5054","0.0-1.0-10.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.227272727272727","[17.300000000000182,16.199999999999818,36.80000000000018,13.400000000000546,16.599999999999454,16.699999999999818,16.700000000000728,16.49999999999909,16.700000000000728,16.099999999999454,17.5]","11"
